party,variable,value,value_label,respondents,total,pct
Progressive Left,faminc_new,97,Prefer not to say,664.5137179976635,8557.171914336328,0.07765576345198406
Progressive Left,gender4,1,Man,3659.485637700088,8557.171914336312,0.4276512934804016
Progressive Left,gender4,2,Woman,4748.7089556754645,8557.171914336312,0.5549390620188062
Progressive Left,gender4,3,Non-binary,126.0776705695216,8557.171914336312,0.014733567565505677
Progressive Left,gender4,4,Other,22.899650391239017,8557.171914336312,0.002676076935286756
Progressive Left,race,1,White,5975.5747946481815,8557.171914336335,0.698311878558493
Progressive Left,race,2,Black,1094.29861932405,8557.171914336335,0.12788087352676727
Progressive Left,race,3,Hispanic,614.0545620707315,8557.171914336335,0.07175905406808174
Progressive Left,race,4,Asian,381.82474135525297,8557.171914336335,0.0446204359544956
Progressive Left,race,5,Native American,27.86483329978813,8557.171914336335,0.0032563133683342895
Progressive Left,race,6,2+ races,304.78158454472265,8557.171914336335,0.035617092609078485
Progressive Left,race,7,Other,111.12982138621199,8557.171914336335,0.01298674638054538
Progressive Left,race,8,Middle Eastern,47.64295770739711,8557.171914336335,0.005567605534204361
